Country name,Rank by 2020 score,"Score, 2020",95pct conf interval,Rank by 2017-19 score,Score_2017-19,95pct conf interval
Finland,1,7.889,7.784-7.995,1,7.809,7.748-7.870
Iceland,2,7.575,7.405-7.746,4,7.504,7.388-7.621
Denmark,3,7.515,7.388-7.642,2,7.646,7.580-7.711
Switzerland,4,7.508,7.379-7.638,3,7.560,7.491-7.629
Netherlands,5,7.504,7.412-7.597,6,7.449,7.394-7.503
Sweden,6,7.314,7.182-7.447,7,7.354,7.283-7.425
Germany,7,7.312,7.163-7.460,15,7.076,7.006-7.146
Norway,8,7.29,7.160-7.421,5,7.488,7.420-7.556
New Zealand,9,7.257,7.124-7.391,8,7.300,7.222-7.377
Austria,10,7.213,7.080-7.347,9,7.294,7.229-7.360
Israel*,11,7.195,7.072-7.318,12,7.200,7.136-7.265
Australia,12,7.137,6.984-7.291,11,7.223,7.141-7.305
Ireland,13,7.035,6.903-7.166,14,7.094,7.016-7.172
United States,14,7.028,6.859-7.197,16,6.940,6.847-7.032
Canada,15,7.025,6.884-7.166,10,7.232,7.153-7.311
Czech Republic*,16,6.897,6.743-7.051,17,6.911,6.827-6.995
Belgium,17,6.839,6.727-6.950,18,6.864,6.796-6.931
United Kingdom,18,6.798,6.671-6.925,13,7.165,7.092-7.237
Taiwan Province of China,19,6.751,6.619-6.883,24,6.455,6.379-6.532
France,20,6.714,6.601-6.827,21,6.664,6.590-6.737
Saudi Arabia,21,6.56,6.370-6.749,26,6.406,6.296-6.517
Slovakia*,22,6.519,6.360-6.678,33,6.281,6.204-6.357
Croatia*,23,6.508,6.304-6.712,61,5.505,5.431-5.579
Spain,24,6.502,6.357-6.647,27,6.401,6.318-6.484
Italy,25,6.488,6.319-6.658,28,6.387,6.303-6.472
Slovenia,26,6.462,6.309-6.615,30,6.363,6.277-6.449
United Arab Emirates,27,6.458,6.341-6.576,19,6.791,6.711-6.871
Estonia*,28,6.453,6.306-6.599,41,6.022,5.951-6.092
Lithuania*,29,6.391,6.223-6.560,35,6.215,6.129-6.302
Uruguay*,30,6.31,6.143-6.476,25,6.440,6.351-6.529
Kosovo*,31,6.294,6.059-6.529,32,6.325,6.223-6.428
Cyprus,32,6.26,6.088-6.431,38,6.159,6.060-6.258
Kyrgyzstan*,33,6.25,6.087-6.412,58,5.542,5.456-5.627
Latvia*,34,6.229,6.085-6.373,46,5.950,5.882-6.018
Bahrain,35,6.173,5.977-6.369,22,6.657,6.537-6.777
Kazakhstan*,36,6.168,6.000-6.337,40,6.058,5.973-6.143
Malta,37,6.157,5.998-6.315,20,6.773,6.689-6.857
Chile*,38,6.151,5.984-6.317,34,6.228,6.139-6.318
Poland*,39,6.139,5.974-6.305,36,6.186,6.117-6.256
Japan,40,6.118,5.985-6.251,50,5.871,5.790-5.952
Brazil*,41,6.11,5.888-6.332,29,6.376,6.296-6.456
Serbia*,42,6.042,5.834-6.249,51,5.778,5.679-5.878
Hungary*,43,6.038,5.833-6.243,43,6.000,5.923-6.078
Mauritius,44,6.015,5.819-6.211,39,6.101,5.989-6.213
Mongolia*,45,6.011,5.852-6.171,63,5.456,5.377-5.535
Mexico*,46,5.964,5.765-6.163,23,6.465,6.371-6.559
Argentina*,47,5.901,5.688-6.113,45,5.975,5.870-6.079
Thailand*,48,5.885,5.657-6.112,44,5.999,5.915-6.082
Moldova*,49,5.812,5.643-5.980,55,5.607,5.525-5.690
South Korea,50,5.793,5.653-5.932,49,5.872,5.786-5.959
Greece*,51,5.788,5.620-5.955,59,5.515,5.423-5.607
China*,52,5.771,5.649-5.893,69,5.124,5.073-5.175
Portugal,53,5.768,5.579-5.957,48,5.911,5.807-6.015
Montenegro*,54,5.722,5.503-5.941,57,5.546,5.450-5.642
Colombia*,55,5.709,5.488-5.930,37,6.163,6.053-6.274
Bulgaria*,56,5.598,5.364-5.832,70,5.102,5.015-5.188
Bolivia*,57,5.559,5.365-5.753,52,5.747,5.648-5.847
Bosnia and Herzegovina*,58,5.516,5.314-5.717,54,5.674,5.583-5.765
Nigeria*,59,5.503,5.282-5.723,80,4.724,4.622-4.826
Russia*,60,5.495,5.366-5.625,62,5.501,5.440-5.561
El Salvador*,61,5.462,5.227-5.697,31,6.348,6.234-6.462
Tajikistan*,62,5.373,5.183-5.563,56,5.556,5.492-5.619
Albania*,63,5.365,5.139-5.591,75,4.883,4.773-4.993
Ecuador*,64,5.354,5.142-5.567,47,5.925,5.822-6.029
Ghana*,65,5.319,5.043-5.596,67,5.148,5.033-5.263
Hong Kong S.A.R. of China,66,5.295,5.154-5.437,60,5.510,5.420-5.601
Laos*,67,5.284,5.043-5.525,74,4.889,4.810-4.968
Bangladesh*,68,5.28,5.014-5.546,77,4.833,4.754-4.911
Ukraine*,69,5.27,5.072-5.467,86,4.561,4.463-4.658
Ivory Coast*,70,5.257,4.996-5.517,64,5.233,5.090-5.377
Cameroon*,71,5.241,4.953-5.530,72,5.085,4.953-5.217
Dominican Republic*,72,5.168,4.931-5.406,53,5.689,5.552-5.826
Georgia*,73,5.123,4.891-5.356,81,4.673,4.588-4.758
Philippines*,74,5.08,4.869-5.290,42,6.006,5.908-6.104
North Macedonia*,75,5.054,4.851-5.256,66,5.160,5.068-5.251
South Africa*,76,4.947,4.766-5.128,78,4.814,4.696-4.932
Iran,77,4.865,4.677-5.052,82,4.672,4.563-4.782
Turkey*,78,4.862,4.638-5.085,68,5.132,5.054-5.210
Zambia*,79,4.838,4.577-5.099,92,3.759,3.641-3.878
Morocco*,80,4.803,4.592-5.013,71,5.095,4.986-5.204
Iraq*,81,4.785,4.550-5.021,79,4.752,4.634-4.869
Tunisia*,82,4.731,4.502-4.960,88,4.392,4.295-4.490
Uganda*,83,4.641,4.381-4.901,87,4.432,4.298-4.566
Venezuela*,84,4.574,4.345-4.802,73,5.053,4.927-5.179
Ethiopia*,85,4.549,4.249-4.850,90,4.186,4.110-4.263
Kenya*,86,4.547,4.307-4.786,84,4.583,4.450-4.716
Egypt*,87,4.472,4.200-4.745,91,4.151,4.081-4.222
Namibia*,88,4.451,4.207-4.695,85,4.571,4.452-4.691
Myanmar*,89,4.431,4.223-4.639,89,4.308,4.224-4.392
Benin*,90,4.408,4.212-4.603,65,5.216,5.064-5.368
Cambodia*,91,4.377,4.140-4.614,76,4.848,4.735-4.962
India**,92,4.225,4.151-4.299,93,3.573,3.519-3.628
Jordan*,93,4.094,3.882-4.306,83,4.633,4.518-4.749
Tanzania*,94,3.786,3.504-4.067,94,3.476,3.352-3.600
Zimbabwe*,95,3.16,2.954-3.365,95,3.299,3.184-3.414